service_provider,total_wireless_subscribers_million,rural_wireless_subscribers_million,rural_subscriber_share_percent,rural_market_share_percent
Reliance Jio,475.34,211.38,44.47%,39.79%
Bharti Airtel,391.00,192.42,49.21%,36.22%
Vodafone Idea Ltd,205.36,97.57,47.51%,18.37%
BSNL,91.06,29.80,32.73%,5.61%
MTNL,1.00,0.02,1.65%,0.003%
Total,"1,163.76",531.18,45.64%,100%
